; ;  Al;  C;  Ca;  Cl;  Fe;  K;  Mg;  Mn;  N;  Na;  O;  S;  Si;  Ti;  Total
0; ;  Al;  C;  Ca;  Cl;  Fe;  K;  Mg;  Mn;  N;  Na;  O;  S;  Si;  Ti;  Total
1; Base(1)_pt1;  8.48   ;  2.58   ;  12.90  ;0;  0.61   ;  0.00   ;0;0;0;  6.88   ;  58.21  ;0;  10.34  ;0;  100.00 
2; Base(1)_pt2;  22.33  ;  5.85   ;  1.10   ;  0.17   ;  21.38  ;0;  0.00   ;0;0;0;  49.17  ;0;  0.00   ;0;  100.00 
3; Base(1)_pt3;0;  4.65   ;0;0;  59.20  ;0;0;0;0;0;0;  36.14  ;0;0;  100.00 
4; Base(2)_pt1;0;  1.89   ;  0.83   ;0;  57.05  ;0;0;0;0;0;  32.38  ;  7.71   ;  0.14   ;0;  100.00 
5; Base(3)_pt1;  31.60  ;  4.41   ;0;0;  9.16   ;0;  0.00   ;0;0;0;  54.83  ;0;  0.00   ;0;  100.00 
6; Base(3)_pt2;  11.91  ;  3.25   ;  5.96   ;0;  0.84   ;0;0;0;0;  13.49  ;  55.01  ;0;  9.54   ;0;  100.00 
7; Base(3)_pt3;  27.83  ;  3.05   ;  14.89  ;0;  4.65   ;0;  0.00   ;0;0;0;  49.58  ;0;  0.00   ;  0.00   ;  100.00 
8; Base(4)_pt1;  0.36   ;  2.73   ;0;0;  54.60  ;0;  2.03   ;0;  7.20   ;0;  29.86  ;0;0;  3.22   ;  100.00 
9; Base(4)_pt2;  3.01   ;  2.66   ;  0.79   ;0;  63.41  ;0;  0.91   ;0;0;0;  26.19  ;0;  0.42   ;  2.60   ;  100.00 
10; Base(4)_pt3;  23.97  ;  2.87   ;  9.79   ;0;  16.08  ;0;  0.00   ;0;0;  0.77   ;  41.97  ;  4.54   ;  0.00   ;  0.00   ;  100.00 
11; Base(5)_pt1;  0.88   ;  2.31   ;  0.29   ;0;  46.54  ;0;  0.92   ;  6.71   ;  7.89   ;0;  31.16  ;0;  0.00   ;  3.30   ;  100.00 
12; Base(6)_pt1;0;  2.45   ;0;0;  53.61  ;0;  2.10   ;0;  7.49   ;0;  31.10  ;0;0;  3.26   ;  100.00 
13; Base(6)_pt2;  0.90   ;  1.84   ;0;0;  69.86  ;0;  1.33   ;0;0;0;  24.05  ;0;0;  2.02   ;  100.00 
